species	bcr
American Crow	28
American Robin	28
Indigo Bunting	28
Northern Cardinal	28
Chipping Sparrow	28
Blue Jay	28
Wood Thrush	28
Mourning Dove	28
Red-eyed Vireo	28
European Starling	28
Red-winged Blackbird	28
Barn Swallow	28
Eastern Towhee	28
Common Grackle	28
American Goldfinch	28
Eastern Phoebe	28
Song Sparrow	28
Gray Catbird	28
Common Yellowthroat	28
Field Sparrow	28
Brown-headed Cowbird	28
Tufted Titmouse	28
Eastern Wood-Pewee	28
Northern Flicker (all forms)	28
House Sparrow	28
Scarlet Tanager	28
Downy Woodpecker	28
Eastern Meadowlark	28
Chimney Swift	28
Ovenbird	28
Eastern Bluebird	28
Yellow Warbler	28
Brown Thrasher	28
Great Crested Flycatcher	28
House Wren	28
White-breasted Nuthatch	28
Cedar Waxwing	28
Killdeer	28
Carolina Wren	28
Baltimore Oriole	28
Red-bellied Woodpecker	28
Eastern Kingbird	28
Northern Mockingbird	28
Pileated Woodpecker	28
Yellow-billed Cuckoo	28
Blue-gray Gnatcatcher	28
House Finch	28
American Redstart	28
Acadian Flycatcher	28
Rock Pigeon	28
Yellow-throated Vireo	28
Black-capped Chickadee	28
Tree Swallow	28
Yellow-breasted Chat	28
Turkey Vulture	28
Carolina Chickadee	28
Hooded Warbler	28
Black-and-white Warbler	28
Rose-breasted Grosbeak	28
Northern Rough-winged Swallow	28
Ruby-throated Hummingbird	28
White-eyed Vireo	28
Orchard Oriole	28
Prairie Warbler	28
Chestnut-sided Warbler	28
Hairy Woodpecker	28
Willow Flycatcher	28
Veery	28
Belted Kingfisher	28
Black-throated Green Warbler	28
Red-tailed Hawk (all forms)	28
Louisiana Waterthrush	28
Northern Parula	28
Warbling Vireo	28
Least Flycatcher	28
Kentucky Warbler	28
Grasshopper Sparrow	28
Blue-headed Vireo	28
Bobolink	28
Northern Bobwhite	28
Great Blue Heron	28
Green Heron	28
Savannah Sparrow	28
American Kestrel	28
Purple Martin	28
Mallard	28
Canada Goose	28
Worm-eating Warbler	28
Blue-winged Warbler	28
Wild Turkey	28
Dark-eyed Junco (all forms)	28
Pine Warbler	28
Summer Tanager	28
Black-billed Cuckoo	28
Yellow-throated Warbler	28
Cerulean Warbler	28
Common Raven	28
Blue Grosbeak	28
Hermit Thrush	28
Cliff Swallow	28
Red-shouldered Hawk	28
Purple Finch	28
Blackburnian Warbler	28
Broad-winged Hawk	28
Ring-necked Pheasant	28
Black-throated Blue Warbler	28
Vesper Sparrow	28
Swamp Sparrow	28
Yellow-bellied Sapsucker	28
Wood Duck	28
Magnolia Warbler	28
Alder Flycatcher	28
Horned Lark	28
Eastern Whip-poor-will	28
Canada Warbler	28
Red-headed Woodpecker	28
Golden-winged Warbler	28
Cooper's Hawk	28
Brown Creeper	28
Yellow-rumped Warbler (all forms)	28
Winter Wren	28
Barred Owl	28
Bank Swallow	28
Black Vulture	28
Mourning Warbler	28
Chuck-will's-widow	28
Brown-headed Nuthatch	28
White-throated Sparrow	28
Red-breasted Nuthatch	28
